Sentence,Category
" In article <kmr4.1433.734039535@po.CWRU.edu> kmr4@po.CWRU.edu (Keith M.   Ryan) writes: > In article <1993Apr5.163050.13308@wam.umd.edu>   west@next02cville.wam.umd.edu (Stilgar) writes: > >In article <kmr4.1422.733983061@po.CWRU.edu> kmr4@po.CWRU.edu (Keith M.   > >Ryan) writes: > >> In article <1993Apr5.025924.11361@wam.umd.edu>   > >west@next02cville.wam.umd.edu (Stilgar) writes: > >>  > >> >THE ILLIAD IS THE UNDISPUTED WORD OF GOD(tm)    *prove me wrong* > >>  > >> 	I dispute it. > >>  > >> 	Ergo: by counter-example: you are proven wrong. > > > >	I dispute your counter-example > > > >	Ergo: by counter-counter-example: you are wrong and > >	I am right so nanny-nanny-boo-boo TBBBBBBBTTTTTTHHHHH >  > 	No. The premis stated that it was undisputed.  >   Fine... THE ILLIAD IS THE WORD OF GOD(tm)  (disputed or not, it is)  Dispute that.  It won't matter.  Prove me wrong.  Brian West -- THIS IS NOT A SIG FILE            *    -""To the Earth, we have been THIS IS NOT A SIG FILE            *     here but for the blink of an OK, SO IT'S A SIG FILE            *     eye, if we were gone tomorrow,  posted by west@wam.umd.edu        *     we would not be missed.""-   who doesn't care who knows it.    *        (Jurassic Park)  ** DICLAIMER: I said this, I meant this, nobody made me do it.** ",alt.atheism
" In article <kmr4.1696.735588167@po.CWRU.edu>, kmr4@po.CWRU.edu (Keith M. Ryan) writes: >  > [34mAnd now . . . [35mDeep Thoughts[0m > 	[32mby Jack Handey.[0m >  > [36mIf you go parachuting, and your parachute doesn't open, and your > friends are all watching you fall, I think a funny gag would be > to pretend you were swimming.[0m  You fall if it opens, too.  Gravity:  it's not just a good idea; it's the law.  Dean Kaflowitz ",alt.atheism
"  I really want to buy a powerbook and would like one that can run  Mathematica. So I need a coprocessor but I can not afford a PB180. (who can?)  Is it possible to put a MCP in a PB160? The guy at the   bookstore says no but I didn't think he had too much of a clue.  Please respond by e-mail:  ross@sbphy.physics.ucsb.edu  thanks in advance, richard ",comp.sys.mac.hardware
"  A couple of points :-  In article <1993Apr22.094851.27323@physchem.ox.ac.uk>, mark@physchem.ox.ac.uk (Mark Jackson) writes: >  > In article <1993Apr19.195301.27872@oracle.us.oracle.com>, ebosco@us.oracle.com (Eric Bosco) writes: > >  > > 1- Buy a SCSI contoler.  Which one? I know Adaptec is good, but they are   > > kind of expensive.  Are there any good boards in the $100 region? I want   > > it to be compatible with OS2 and Unix if possible.  Also, I have seen on   > > the net that there are SCSI and SCSI2 drives. Is this true? Does the   > > adapter need to be the same as the drive? What type of drive is the   > > quantum? >  >  > I have tried others, but I think that the Adaptec is best value for money.  I have an Adaptec 1542B and am very happy with it.  >  >  > > 2- connect the drive to the adapter via a SCSI cable and the power cable. > > Do i have to worry about the power supply? I think I have 200 watts and   > > all I'm powering are two floppies and the seagate drive. >  >  > I dont think you can mix the two types of drive, unless you have one of the > SCSI/IDE cards that is available.  You will have to turn your IDE off.  Not so! I have both IDE and an Adaptec1542B in the same box and can use both disks at the same time, eg. IDE to SCSI disk copy.  >  > > Well that seems to be all. Is there anythiing I'm forgetting?  > > Any help is *really* appreciated, I'm lost... > >  > > -Eric > >  > > ebosco@us.oracle.com > --  > Mark  > ______________________________________________________________________________ > mark@uk.ac.ox.physchem  Well, one statement and one correction!  Guy --  -- ----------------------------------------------------------------------------- Guy Dawson - Hoskyns Group Plc.         guyd@hoskyns.co.uk  Tel Hoskyns UK     -  71 251 2128         guyd@austin.ibm.com Tel IBM Austin USA - 512 838 3377 ",comp.sys.ibm.pc.hardware
" In article <4fjDcfu00iV2I9Kap_@andrew.cmu.edu> ""Jason M. Roth"" <jr4q+@andrew.cmu.edu> writes: >>I can't imagine any Civic or Saturn owners flex'n there egos in stop light >>races. It generates as much excitement as two nerds challenging each other >>in a game of one-on-one basketball!! > >The SL2 does 0-60 in about 8.5; note that this is closer to a 968 than >to a Paseo or Storm (pseudo-sporty cars). That's a ridiculous >comparison, I know, but the point is that Saturns (and high-end Civics, >for that matter) accelerate just fine, in fact better than most >unimproved ""muscle"" cars of the 60s; 300 hp is great, but tied to 2 >tons, it just doesn't go that quick. Saturns, on the other hand, use 125 >hp tied to 2400 lbs with some short gearing to move very quickly off the >line. Anyway.... > > >  While your 0-60 time is consistent with most car magazines and reports, I saw the PBS MotorWeek show clock a 5-speed SL2 at 7.9 seconds.  I'm sure that most SL2 owners will be VERY lucky to get this speed, but 7.9 seconds is still astonishingly fast for a small 4-door.  A new Civic EX runs about 8.2 seconds 0-60, if I'm not mistaken.  Most cars in this class are lucky to be in the 9-second range.   Mihir Shah  ",rec.autos
" Padmini Srivathsa in Wisconsin writes:  >I would like references to any introductory material on image >databases.  I'd be happy to US (international) Snail mail technical information on imaging databases to anyone who needs it, if you can provide me with your address for hard copy (not Email).  We're focusing mostly on Open PACE, Oracle, Ingres, Adabas, Sybase, and Gupta, regarding our imaging databases installed.  (We have over 1,000 installed and in production now; most of the new ones going in are on Novell LANs, the RS/6000, and now HP Unix workstations.)  We work with Visual Basic too.  Michael.Willett@OFFICE.Wang.com ",comp.graphics
" What are people's opinions about laser detectors?  Escort makes a laser detector, the Passport 1000, and claims it works fine.  However, I've talked to some people who have said that it will only work if you are lucky - i.e. if the cop happens to point his laser at a car in front of you, and the laser beam happens to reflect back to your detector.  Otherwise it won't work.  Regular radar, of course, travels in all directions; hence it is more detectable.  Any comments?  Escort has a deal (till the end of April, I think), where if you buy their wideband (Passport 3200 - X, K, Ka) and laser detectors, you'll save $60 off of buying them separately.  In this case, the addition of the laser detector over the Passport 3200 is only $40 (i.e. Passport 1000 normally costs $100). -- Eddie Gornish University of Illinois - Center for Supercomputing Research & Development  gornish@csrd.uiuc.edu ",sci.electronics
"Message-ID: <1qvmn8INN5j8@lynx.unm.edu> References: <1993Apr19.170938.11226@Virginia.EDU> <1993Apr19.171223.11311@Virginia.EDU> NNTP-Posting-Host: jupiter.mcl.bdm.com  In article <1993Apr19.171223.11311@Virginia.EDU> mjr4u@Virginia.EDU (""Matthew J. Rush"") writes: > I forgot to ask: Is this the highest points total Francis has >had in a season?  Has he ever had a 100 point season before, >either with the Pens or the Whalers? >  Francis got 101 in 89-90, his last full season with Hartford.  In agreement with your previous post, I think Francis is a tremendous and generally underrated complete player.  I would LOVE to have him here in a Capitals uniform where he would certainly be the #1 center (even though Pivonka is also a very good complete player who is generally underrated). Francis impresses me in many ways as an ""ethical Dale Hunter"".  Tons of heart and can-do attitude with a lot of different skills, but none of the cheap shots and few penalty minutes.  Not to mention nearly always coming through when it's important.  ",rec.sport.hockey
" In article <1993Apr15.100452.16793@csx.cciw.ca> u009@csx.cciw.ca (G. Stewart Beal) writes: >In article <120466@netnews.upenn.edu> jhaines@eniac.seas.upenn.edu (Jason Haines) writes: >> >>	I was wondering if people had any good uses for old >>256k SIMMs.  I have a bunch of them for the Apple Mac >>and I know lots of other people do to.  I have tried to >>sell them but have gotten NO interest. >> >>	So, if you have an inovative use (or want to buy >>some SIMMs  8-) ), I would be very interested in hearing >>about it. >> >One of the guys at work takes 20 of them, uses cyano-acrylate glue to make >five four-wide ""panels"" then constructs a box, with bottom, to use as a >pencil holder. >  Or, if you've got some entreprenuerial (sp?) spirit, get a cheapy clear plastic box, mount the simm inside, and sell it as a 'Pet SIMM'!  I'm sure there are *plenty* of suckers out there who would go for it!  aaron   ",sci.electronics
"Nntp-Posting-Host: polymr4.bdrc.bd.com  >>So how do I steer when my hands aren't on the bars? (Open Budweiser in..  David Gibbs replies: >Just in case the original poster was looking for a serious answer, >I'll supply one. > >Yes, even when steering no hands you do something quite similar >to countersteering.  Basically to turn left, you to a quick wiggle >of the bike to the right first, causing a counteracting lean to  I guess I was semi-serious. Without using my hands, I lean and the bike  turns. When leaning, a torque is applied, at a 90deg angle to the front  wheel's axle, just as in countersteering. However, this torque is also about  90deg from the axis of the steering head. Instead of making the  bike lean, gyroscopic effect makes the bars turn, but I don't remember  which way.  -Rick  Oh yeah, I tried this in the driveway, on the centestand,(as suggested  somewhere else) but it doesn't seem to work the same.     Rick Clarke  (clarke@bdrc.bd.com) AMA# something,something,...  ",rec.motorcycles
