Sentence,Sentiment
"Kimse mention atmadý, artýk turkcell'de msj atmýyo zaten. Hiç bu kadar yalnýz kalmamýþtým....",2
zaten 4 çeker diyip metroda çekmeyen tek slogana sahip :D,1
yarýn geçn türkcell kullan derim gari..,0
býde turkcell cekmýo derler dýmý sed (:,0
Cok sukur bb'mi kurtardi Turkcell,0
Bende turkcell im :D ne deðiþir,2
#TURKCELL aboneleri 2011'de 85 Milyar SMS attý...,2
"Nihayet eve fiber internet geldi. Superonline, Karamehmet'in yýllar önce döþediði fiber aðý engellemeler yüzünden anca devreye sokabildi.",0
Turkcell'in premium musterisi olmamama ragmen cihaz temini icin gostermis oldugunuz ozel ilgiden dolayi cok tesekkur ederim.,0
#BuKutudaNeVar  ayfon dört se ayped ikiiiiiiii :D,2
Lovatic beyni : Hayat Paylaþýnca Güzel La La Land &lt;3,2
"Bu Turkcell cok iyi lan.Durduk yere mesaj atýyor, kampanyalarýyla mutlu ediyor falan.Sevgilim gorup kýskanýr umarým.",0
turcell ailesine ve turkcell müþteri temsilcilerine mutlu  saðlýklý yýllar diiliyorum sevgilerimle (:,0
turkcell miydin sen,2
hayat paylaþýnca güzel :)),0
Yaptýgýn ýs ýs degýl. Adam 2 ýPhone alacak dýye benden sonra gelmesýne ragmen ben bekletýlýyorum suyun ýsýnýyor ha,1
internet o kadar yavaþ ki premium account'dan download yaptýðým halde free user'dan bi farkým yok resmen #superonline,1
"kardeþim ""ben sevmedim, sen bak..."" diye bana bir turkcell t10 verdi. Rom atmak diye bir þey varmýþ, onu kasýyorum sabahtan beri... Zormuþ!",2
kafama takilan bir konu gsm operatorlerinin mobil site destegi ve uygulamalarinin olmamasi. turkcell istisna tabi,0
donuma kadar aldýn,1
"Ýptal etmek istersem, taahhüdüm baþlamadan evvel ki kampanya fiyatlarýný da dahil ederek 400 küsur lira bedel çýkartýyor. Çakal #Superonline",1
10000 SMS'e yine zam geliyormuþ. Bence herkes net paketi yapsýn WA'da takýlalým Turkcell iþi abarttý.,1
superonline'dn arada geliyrr amaaa,2
hayat paylaþýnca güzel,0
bu kadarýda olmaz TURKCELL reklamýnda telefonla ses kalitesi yapan reklam filmi çakma çýktý :D buyrun kanýtý,1
Bna gelcektin hani selocan? MUCK yalan mi etti bzi yoksa :)),2
'lutfewn býr turkcell ýletýsým noktasýna gidin'' bos gezýoruz býzým ýsýmýz gucumuzyok sanký kalkýp eve gdp fatura bulup sana kosucam!!,1
"ya birakin su kampanya ayaklarini da 3G'nizi, istanbulun merkezinde telinizin cekmemesi sorunlarina yonelin!",1
"Çekmiyormuþ diyerek çekmediðini dedikodusunu tasdik eden Vodafone, kalitelisi pahalýymýþ diyerek bu kez de Turkcell'e kaliteli dedi sanki?",0
"Hayat paylaþýnca güzel lalala lay laay la lay. Bir gün iyi oluyorsun, öteki gün melenkolik ruh halinde.",0
